,rid,disease_cui,symptom_cui
0,1,C0001175,C1720342
1,898,C0001175,C1720231
2,1167,C0001175,C1719857
3,2,C0001314,C0232597
4,308,C0001314,C0585542
5,1168,C0001314,C0155002
6,3,C0001344,C0242429
7,4,C0001344,C0423630
8,1169,C0001396,C0039070
9,2051,C0002418,C1571956
10,5,C0002453,C0497456
11,309,C0002963,C0002962
12,592,C0002963,C0030193
13,6,C0003123,C0426579
14,1758,C0003460,C0028962
15,1455,C0004095,C0422943
16,1456,C0004095,C0042818
17,1759,C0004095,C0234660
18,593,C0004509,C0232983
19,1457,C0004509,C0232982
20,1458,C0004606,C1319539
21,1459,C0004608,C1319589
22,1760,C0004608,C1319587
23,2052,C0004608,C1319588
24,7,C0004782,C0221169
25,8,C0005461,C0547030
26,1761,C0005937,C0577572
27,594,C0006111,C0341865
28,310,C0006145,C0425791
29,899,C0006145,C0233390
30,311,C0006261,C0264345
31,1170,C0006430,C0017672
32,2053,C0006430,C0241426
33,2054,C0006430,C0012766
34,9,C0007222,C0700200
35,1460,C0007222,C0039070
36,900,C0007462,C0030193
37,595,C0007682,C0521668
38,1171,C0007682,C0018991
39,1461,C0007682,C1321324
40,901,C0007760,C0007758
41,312,C0007761,C0027066
42,1462,C0007761,C1961111
43,1762,C0007761,C0007758
44,1172,C0007862,C0030193
45,2055,C0007863,C0578055
46,10,C0007932,C0007942
47,11,C0008489,C0427086
48,1173,C0008489,C0454605
49,902,C0008679,C0232598
50,12,C0008711,C0264272
51,1763,C0008711,C1563338
52,313,C0009088,C0030193
53,596,C0009088,C0018681
54,1174,C0009088,C0027796
55,1175,C0009373,C0009806
56,2056,C0009421,C0362036
57,1176,C0009443,C0426471
58,13,C0009663,C0343731
59,14,C0009663,C0240715
60,2057,C0009663,C0577567
61,597,C0009952,C0036572
62,1177,C0010034,C0339249
63,903,C0010073,C0348588
64,314,C0010264,C0026821
65,1463,C0010264,C1536352
66,315,C0010269,C0027796
67,316,C0010269,C0030193
68,15,C0010314,C0234861
69,1178,C0010488,C0030193
70,16,C0011168,C0392678
71,1179,C0011168,C0221150
72,1464,C0011168,C0426601
73,1465,C0011168,C1542154
74,17,C0011346,C1290644
75,317,C0011346,C1290643
76,1466,C0011432,C0241457
77,1764,C0011432,C0241462
78,2058,C0011603,C0152030
79,598,C0011606,C0041834
80,18,C0011757,C0478662
81,318,C0011849,C1319540
82,904,C0011849,C1319537
83,905,C0011849,C1319539
84,1180,C0011849,C1319542
85,1467,C0011849,C1319541
