,rid,disease_cui,Number of symptoms
0,1,C0392702,33
1,2,C1300028,19
2,3,C0029620,13
3,4,C0157731,13
4,5,C0029498,12
5,6,C0347894,12
6,7,C0031121,12
7,8,C0042109,11
8,9,C1269791,11
9,10,C0028738,10
10,11,C0158352,10
11,12,C0029782,9
12,13,C0029581,9
13,14,C0029788,9
14,15,C0015732,8
15,16,C0011849,8
16,17,C0017412,8
17,18,C0150055,7
18,19,C1290849,6
19,20,C0029794,6
20,21,C0178298,6
21,22,C0015230,5
22,23,C0549567,5
23,24,C0553760,5
24,25,C1290613,5
25,26,C0013384,5
26,27,C0155006,5
27,28,C0158292,5
28,29,C0156325,5
29,30,C1290864,5
30,31,C0042024,5
31,32,C0406670,5
32,33,C0040409,5
33,34,C0036454,4
34,35,C1302110,4
35,36,C0016807,4
36,37,C0851578,4
37,38,C0271487,4
38,39,C0037274,4
39,40,C0404559,4
40,41,C0154706,4
41,42,C0030846,4
42,43,C0264600,4
43,44,C0011168,4
44,45,C0013447,4
45,46,C0155527,4
46,47,C0700201,4
47,48,C0152091,3
48,49,C1302834,3
49,50,C0270820,3
50,51,C1704421,3
51,52,C0234974,3
52,53,C0264678,3
53,54,C0264681,3
54,55,C0376356,3
55,56,C0393733,3
56,57,C1290857,3
57,58,C1299439,3
58,59,C0159027,3
59,60,C0033575,3
60,61,C0016399,3
61,62,C0267204,3
62,63,C0278199,3
63,64,C1290876,3
64,65,C0009088,3
65,66,C0151824,3
66,67,C0158370,3
67,68,C0567085,3
68,69,C0278203,3
69,70,C1278535,3
70,71,C0026650,3
71,72,C0006430,3
72,73,C0152097,3
73,74,C0009663,3
74,75,C0221260,3
75,76,C0278202,3
76,77,C0494559,3
77,78,C0741026,3
78,79,C1290807,3
79,80,C1302248,3
80,81,C0459146,3
81,82,C1534916,3
82,83,C0042345,3
83,84,C0422853,3
84,85,C0264676,3
85,86,C1290878,3
86,87,C1527351,3
87,88,C0015397,3
88,89,C0030508,3
89,90,C0278192,3
90,91,C0342965,3
91,92,C0264680,3
92,93,C0741032,3
93,94,C0004095,3
94,95,C0004608,3
95,96,C0001314,3
96,97,C0422855,3
97,98,C0475522,3
98,99,C1299440,3
99,100,C1571952,3
100,101,C0007761,3
101,102,C0267525,3
102,103,C0311334,3
103,104,C0020555,3
104,105,C0158326,3
105,106,C0042798,3
106,107,C0278110,3
107,108,C0029741,3
108,109,C0029776,3
109,110,C0343065,3
110,111,C0393593,3
111,112,C1253936,3
112,113,C0026636,3
113,114,C1720062,3
114,115,C0007682,3
115,116,C0027339,3
116,117,C0264675,3
117,118,C0278188,3
118,119,C0393735,3
119,120,C0031117,3
120,121,C0037284,3
121,122,C0162281,3
122,123,C1290865,3
123,124,C0015544,3
124,125,C0234533,3
125,126,C0264677,3
126,127,C0348626,3
127,128,C0340288,3
128,129,C0340289,3
129,130,C0459151,3
130,131,C0026893,3
131,132,C0001175,3
132,133,C0012569,3
133,134,C1533847,3
134,135,C0266998,3
135,136,C1302820,3
136,137,C0014544,3
137,138,C2919725,2
138,139,C0032772,2
139,140,C0157735,2
140,141,C0162429,2
141,142,C0270846,2
142,143,C1535033,2
143,144,C0155503,2
144,145,C0234906,2
145,146,C0017411,2
146,147,C0270847,2
147,148,C0413299,2
148,149,C0554467,2
149,150,C0231644,2
150,151,C0406844,2
151,152,C0521673,2
152,153,C0269220,2
153,154,C0008489,2
154,155,C0021831,2
155,156,C0339473,2
156,157,C1268586,2
157,158,C1274903,2
158,159,C1720149,2
159,160,C0006145,2
160,161,C0010269,2
161,162,C0024530,2
162,163,C0269664,2
163,164,C0409264,2
164,165,C0423690,2
165,166,C0086666,2
166,167,C0151532,2
167,168,C0154678,2
168,169,C0278162,2
169,170,C0340548,2
170,171,C0393901,2
171,172,C0035455,2
172,173,C0270825,2
173,174,C0339471,2
174,175,C0585051,2
175,176,C1299436,2
176,177,C0023895,2
177,178,C0155171,2
178,179,C1535418,2
179,180,C0301918,2
180,181,C0152172,2
181,182,C0575032,2
182,183,C0267509,2
183,184,C0395932,2
184,185,C1578669,2
185,186,C1704330,2
186,187,C2267233,2
187,188,C0014804,2
188,189,C0015371,2
189,190,C0015930,2
190,191,C0032533,2
191,192,C0278189,2
192,193,C0393734,2
193,194,C1274675,2
194,195,C0221207,2
195,196,C0264679,2
196,197,C0270822,2
197,198,C0340164,2
198,199,C0149875,2
199,200,C0158298,2
200,201,C0269663,2
201,202,C2960037,2
202,203,C0034951,2
203,204,C0268029,2
204,205,C0585052,2
205,206,C0743332,2
206,207,C0267173,2
207,208,C0270860,2
208,209,C0393776,2
209,210,C0565822,2
210,211,C1321575,2
211,212,C1536114,2
212,213,C3266155,2
213,214,C0023533,2
214,215,C0030486,2
215,216,C1299437,2
216,217,C0085623,2
217,218,C0155872,2
218,219,C0270794,2
219,220,C0278196,2
220,221,C0477758,2
221,222,C0042376,2
222,223,C0035204,2
223,224,C0152227,2
224,225,C0221058,2
225,226,C0406409,2
226,227,C0458224,2
227,228,C0264291,2
228,229,C0001344,2
229,230,C0011884,2
230,231,C0154739,2
231,232,C0242420,2
232,233,C0340854,2
233,234,C0423704,2
234,235,C1290866,2
235,236,C1971759,2
236,237,C0033893,2
237,238,C0152216,2
238,239,C0155186,2
239,240,C0234534,2
240,241,C0234549,2
241,242,C0269120,2
242,243,C0269662,2
243,244,C0278193,2
244,245,C0423738,2
245,246,C0546212,2
246,247,C0234365,2
247,248,C0422859,2
248,249,C0458167,2
249,250,C0595948,2
250,251,C0013394,2
251,252,C0264611,2
252,253,C0270736,2
253,254,C0270831,2
254,255,C0013405,2
255,256,C0014805,2
256,257,C0035309,2
257,258,C0085417,2
258,259,C0269099,2
259,260,C0751524,2
260,261,C0751783,2
261,262,C1290145,2
262,263,C1299438,2
263,264,C1827396,2
264,265,C0028850,2
265,266,C0263358,2
266,267,C0270148,2
267,268,C0281913,2
268,269,C0401146,2
269,270,C0154830,2
270,271,C0405080,2
271,272,C0007222,2
272,273,C0014130,2
273,274,C0042994,2
274,275,C0152110,2
275,276,C0152230,2
276,277,C0278195,2
277,278,C0750949,2
278,279,C0751778,2
279,280,C1290846,2
280,281,C0020454,2
281,282,C0026848,2
282,283,C0029770,2
283,284,C0265808,2
284,285,C0268919,2
285,286,C0270838,2
286,287,C0348751,2
287,288,C0042075,2
288,289,C0234538,2
289,290,C0520998,2
290,291,C0549201,2
291,292,C1274820,2
292,293,C1971624,2
293,294,C0023066,2
294,295,C0032962,2
295,296,C0231767,2
296,297,C0263351,2
297,298,C0392060,2
298,299,C0011432,2
299,300,C0575031,2
300,301,C0158231,2
301,302,C0238902,2
302,303,C0267515,2
303,304,C0270793,2
304,305,C0270819,2
305,306,C0270849,2
306,307,C0476214,2
307,308,C0586323,2
308,309,C0085622,2
309,310,C0234247,2
310,311,C0008711,2
311,312,C0011346,2
312,313,C0033117,2
313,314,C0206064,2
314,315,C0234755,2
315,316,C0267556,2
316,317,C0270830,2
317,318,C0743381,2
318,319,C1290143,2
319,320,C0002963,2
320,321,C0014547,2
321,322,C0032768,2
322,323,C0264603,2
323,324,C0272088,2
324,325,C0401144,2
325,326,C1720077,2
326,327,C0234541,2
327,328,C0522255,2
328,329,C0553565,2
329,330,C2242981,2
330,331,C0014553,2
331,332,C0085096,2
332,333,C0085543,2
333,334,C0263894,2
334,335,C0272391,2
335,336,C0422846,2
336,337,C0023760,2
337,338,C0029771,2
338,339,C0427164,2
339,340,C0751785,2
340,341,C0042251,2
341,342,C0263866,2
342,343,C0393720,2
343,344,C0863106,2
344,345,C0010264,2
345,346,C0012634,2
346,347,C0343042,2
347,348,C0393746,2
348,349,C1720189,2
349,350,C2919808,2
350,351,C0004509,2
351,352,C0038354,2
352,353,C0040128,2
353,354,C0263888,2
354,355,C0348727,2
355,356,C0393771,2
356,357,C0543820,2
357,358,C1271073,2
358,359,C1299435,2
359,360,C0024207,2
360,361,C0162819,2
361,362,C0267172,2
362,363,C0278201,2
363,364,C0029805,2
364,365,C0278197,2
365,366,C0546878,2
366,367,C0458225,2
367,368,C0014550,2
368,369,C0020451,2
369,370,C0025517,2
370,371,C0029821,2
371,372,C0152251,2
372,373,C0155358,2
373,374,C0155796,2
374,375,C0002453,1
375,376,C0007932,1
376,377,C0011757,1
377,378,C0036093,1
378,379,C0039621,1
379,380,C0086588,1
380,381,C0151740,1
381,382,C0152437,1
382,383,C0263589,1
383,384,C0267436,1
384,385,C0268317,1
385,386,C0271184,1
386,387,C0271317,1
387,388,C0271388,1
388,389,C0311268,1
389,390,C0343836,1
390,391,C0393602,1
391,392,C0393684,1
392,393,C0393697,1
393,394,C0393718,1
394,395,C0406536,1
395,396,C0409273,1
396,397,C0453877,1
397,398,C0751019,1
398,399,C1691006,1
399,400,C0152522,1
400,401,C0156344,1
401,402,C0269660,1
402,403,C0270850,1
403,404,C0278186,1
404,405,C0338534,1
405,406,C0340103,1
406,407,C0343729,1
407,408,C0406698,1
408,409,C0729261,1
409,410,C1274988,1
410,411,C1628308,1
411,412,C1636157,1
412,413,C1642397,1
413,414,C1998392,1
414,415,C0018975,1
415,416,C0027436,1
416,417,C0036413,1
417,418,C0037315,1
418,419,C0152134,1
419,420,C0158234,1
420,421,C0260662,1
421,422,C0264130,1
422,423,C0269106,1
423,424,C0393690,1
424,425,C0393703,1
425,426,C0406616,1
426,427,C0686533,1
427,428,C1275455,1
428,429,C1290048,1
429,430,C1290841,1
430,431,C1446219,1
431,432,C1720416,1
432,433,C0008679,1
433,434,C0013537,1
