,rid,disease_cui,snomed_code,Terms
0,1,C0343681,240562003,Pustular syphilide
1,2,C0027145,43153006,Myxedema (disorder)
2,3,C0156346,198253003,Endometriosis of rectovaginal septum and vagina
3,4,C0264604,51100001,Hypokinetic parkinsonian dysphonia
4,5,C0268982,72746005,Infertility due to incomplete spermatogenic arrest
5,6,C0343686,240566000,Gummatous neurosyphilis
6,7,C0393524,230232005,Late onset cerebellar ataxia
7,8,C0393678,230389006,Primary inherited reading epilepsy
8,9,C0406531,200921001,Erythema papulatum
9,10,C0014866,63305008,Stricture of esophagus
10,11,C0155186,193969001,Other eyelid disorder NOS
11,12,C0234549,19334007,Stress seizure
12,13,C0234978,267592003,Motor cortex epilepsy
13,14,C0338480,56097005,Migraine without aura
14,15,C0413299,242015007,Exhaustion - physiological
15,16,C0870082,396228006,Hyperkeratosis (disorder)
16,17,C0041227,78940002,Trypanosomiasis (disorder)
17,18,C0158232,202637004,"Joint disorder NOS, of the upper arm"
18,19,C0241880,26681001,Endometriosis of pelvis
19,20,C0269115,8421002,Endometriosis of appendix
20,21,C0339823,232362005,Cyst of nasal cavity
21,22,C1096063,445355009,Refractory epilepsy
22,23,C0080040,31097004,Post poliomyelitis syndrome
23,24,C0271508,61444009,Disharmonic diplacusis
24,25,C0348751,197555009,[X]Other specified diseases of liver
25,26,C0472354,230415009,Cryptogenic generalized epilepsy
26,27,C0751122,230437002,Severe myoclonic epilepsy in infancy
27,28,C0406539,238816001,Toxic urticated erythema
28,29,C0406740,109478007,Kohlschutter's syndrome
29,30,C0751774,418763003,Periodic limb movement disorder
30,31,C1290878,128135006,Disorder of thigh
31,32,C1868889,440630006,Irritable bowel syndrome characterized by constipation
32,33,C1304410,402658008,Serum sickness type vasculitis
33,34,C0042798,7973008,Abnormal vision
34,35,C0269113,57493005,Endometriosis of vagina
35,36,C0267656,53156005,Postcholecystectomy diarrhea
36,37,C0029816,194532004,[X]Other specified myoneural disorders
37,38,C0085622,86022000,Monoplegia (disorder)
38,39,C0269150,2526004,Noninflammatory disorder of the female genital organs
39,40,C0392439,200976008,Acrodermatitis continua
40,41,C0001175,62479008,Acquired immune deficiency syndrome (AIDS) (disorder)
41,42,C0272269,30048004,Cold erythema associated with hemolysins
42,43,C0033103,78146007,Pretibial myxedema
43,44,C0393671,230382002,Benign frontal epilepsy of childhood
44,45,C0395921,232285008,Benign recurrent vertigo
45,46,C0522254,103012002,Analgesic overuse headache
46,47,C0577725,301030002,Anterior mediastinum mass
47,48,C0269107,61640006,Endometriosis of cervix
48,49,C0339655,232118008,Anomaly of vergence system
49,50,C0751642,230397004,Anterior frontopolar epilepsy
50,51,C1535555,156653009,(Coccygeal disorder NOS) or (coccydynia)
51,52,C0011757,27544004,Developmental coordination disorder
52,53,C0152522,43240000,Diarrhea of presumed infectious origin
53,54,C0266102,78753008,Globulo-maxillary cyst
54,55,C1302248,399194009,Disorder characterized by back pain
55,56,C0155359,111534007,Scleral staphyloma
56,57,C0278212,4142001,Muscular asthenopia
57,58,C0338481,95655001,Ophthalmic migraine
58,59,C0343266,203494009,Algodystrophy of knee
59,60,C0011606,396349005,Generalized erythroderma
60,61,C0030436,200766001,Parakeratosis (disorder)
61,62,C0267663,18805001,"Congenital secretory diarrhea, sodium type"
62,63,C0948268,422773005,Hemodynamic instability
63,64,C0263835,66553004,"Effusion of joint of other site, NEC"
64,65,C0272407,79040006,Splenic cyst
65,66,C0396005,232407000,Pharyngeal spasm
66,67,C1534238,154750002,(Plasma protein metabolism disorder: & [hyperproteinaemia] or [hypoproteinaemia]) or (Waldenstrom's macroglobulinaemia)
67,68,C1534238,154750002,(Plasma protein metabolism disorder: & [hyperproteinemia] or [hypoproteinemia]) or (Waldenstrom's macroglobulinemia)
68,69,C0007462,408751001,"Complex regional pain syndrome, type II"
69,70,C0014718,266158001,Candidal intertrigo
70,71,C0038034,42094007,Sporotrichosis (disorder)
71,72,C0154678,192864003,Other and unspecified extrapyramidal diseases and abnormal movement disorders (disorder)
72,73,C0278162,3756000,Static ataxia
73,74,C1535418,155667007,(Tongue disease NOS) or (coated tongue) or (geographic tongue) or (glossodynia)
74,75,C0011346,6288001,Accretion on teeth
75,76,C1535339,196429002,Temporomandibular joint: [ankylosis] or [stiff]
76,77,C1534531,206750008,([D]Hypersomnia with sleep apnea) or (sleep apnea syndrome)
77,78,C0007761,41009006,Progressive cerebellar tremor
78,79,C0156678,303063000,Eclampsia in puerperium
79,80,C0410249,240107001,Viral myalgia
80,81,C0007760,223176004,Cerebellar disorder
81,82,C0022782,3323003,Leukoplakia of penis
82,83,C0029741,203039009,Other specific muscle disorder
83,84,C0423711,247391003,Perineal neuralgia
84,85,C1290036,128618006,Disorder of finger
85,86,C1960052,426896000,Chronic hypercapnic respiratory failure
86,87,C0220669,279953009,Familial neonatal seizures
87,88,C0267510,85920003,Constipation by outlet obstruction
88,89,C0267602,70441009,Descending perineum syndrome
89,90,C0162809,93559003,Hypogonadism with anosmia
90,91,C0263885,89902003,Grisel's syndrome
91,92,C0268813,82800008,Dipsogenic diabetes insipidus
92,93,C0399418,52367009,Posteruptive tooth staining due to drug
93,94,C1961123,426934001,Monoplegia of lower limb affecting non-dominant side (disorder)
94,95,C0006430,399165002,Burning mouth syndrome
95,96,C0340548,233949008,Pulmonary capillary hemangiomatosis
96,97,C2959492,447123001,Epidermoid cyst of skin of thigh
97,98,C0023760,90678009,Disorder of lip
98,99,C0154703,41764006,Monoplegia of upper limb
99,100,C0263599,54739001,Chrysoderma
100,101,C0422846,246530009,Versive seizure
101,102,C1274988,403666006,Drug-induced mucositis
102,103,C0040435,234947003,Tooth disorder
103,104,C0342965,238157005,Disorder of blood gas
104,105,C1271073,395219004,Visual perceptual weakness
105,106,C1274284,402845005,Physiological cutis marmorata
106,107,C1542018,192846005,Myoclonus: [other] or [paramyoclonus multiplex]
107,108,C0158326,268003009,"Other synovial, tendon and bursa disorders"
108,109,C0270736,192839001,Essential tremor
109,110,C0338553,230597003,Intercostal post-herpetic neuralgia
110,111,C0699848,22169002,Intestinal disaccharidase deficiency
111,112,C0729793,312446008,Female coital disorder
112,113,C0221058,49605003,Ophthalmoplegic migraine
113,114,C0263014,60033003,Panniculitis affecting back
114,115,C0267438,83134002,Dietetic diarrhea
115,116,C1302834,400106006,Disorder of skin of trunk
116,117,C1827250,423753005,Reflex blepharospasm
117,118,C0159027,206703004,[X]Other specified conditions originating in the perinatal period
118,119,C0264280,60416001,Edema of nasopharynx
119,120,C0270851,38281008,Benign neonatal convulsions
120,121,C0016399,128612007,Focal motor seizure
121,122,C0029411,88220006,Pachydermoperiostosis syndrome
122,123,C0232266,59685007,Continuous murmur
123,124,C0235522,90507008,Disorder of vein
124,125,C0393613,230340001,Isolated facial tremor
125,126,C0543820,403391003,Secondary erythromelalgia
126,127,C1720189,421455009,Episodic ataxia
127,128,C0158228,202630002,Other specified joint disorders of the ankle and foot
128,129,C0555970,275496003,Nasal infection
129,130,C0221237,266429005,Angular cheilitis
130,131,C0269109,10535001,Endometriosis of broad ligament
131,132,C0393736,398126006,Muscular headache
132,133,C0395865,77478005,Acute sanguinous otitis media
133,134,C0454615,229704003,Acquired choreiform dyspraxia
134,135,C0274440,402414002,Urticarial reaction to blood product
135,136,C0406543,238820002,Erythema multiforme of pregnancy
136,137,C0034951,39021009,Disorder of refraction
137,138,C0151436,60555002,Hypersensitivity angiitis
138,139,C0270615,87842000,Generalized neuromuscular exhaustion syndrome
139,140,C0006111,81308009,Disorder of brain
140,141,C0010034,15250008,Disorder of cornea
141,142,C0033893,398057008,Tension-type headache
142,143,C0272021,48580008,Anemia due to starvation
143,144,C1563308,201431008,(Skin and subcutaneous tissue disease NOS) or (sore skin)
144,145,C0267645,359656003,Idiopathic diffuse ulcerative nongranulomatous enteritis
145,146,C0271609,45248009,Isosexual virilization
146,147,C0341420,235840008,Irritable bowel syndrome variant of childhood with constipation
147,148,C0008679,27624003,Chronic disease (disorder)
148,149,C0151740,271719001,Raised intracranial pressure
149,150,C0234541,73706008,Epileptic cry
150,151,C0452160,202794004,Lumbago with sciatica
151,152,C0581348,202337006,Snapping shoulder
152,153,C0037933,267968002,Vertebral column syndromes
153,154,C0003123,79890006,Anorexic
154,155,C0020538,38341003,Hypertensive disorder
155,156,C0030331,76097009,Erythema nodosum migrans
156,157,C0234539,71587006,Tetanic convulsion
157,158,C0454619,229708000,Velar dyspraxia
158,159,C0454635,229728001,Velopharyngeal mislearning
159,160,C0877440,412740002,Periorbital erythema
160,161,C0022354,59848001,Obstructive hyperbilirubinemia
161,162,C0027339,17790008,Disorder of nail
162,163,C0029770,197505001,[X]Other specified diseases of hard tissues of teeth
163,164,C0029776,198539004,[X]Other specified disorders of bladder
164,165,C0268305,80006005,Disorder of bilirubin metabolism
165,166,C0393626,230350000,Opsoclonus-myoclonus syndrome
166,167,C0405072,17787002,Peripheral neuritis in pregnancy
167,168,C0406598,51696001,Lipogranulomatosis subcutanea of Rothmann and Makai
