,rid,symptom_cui,Number of diseases
0,1,C0036572,169
1,2,C0030193,136
2,3,C0041834,89
3,4,C0018681,59
4,5,C0011991,39
5,6,C0490011,36
6,7,C0027066,29
7,8,C0033774,26
8,9,C0002962,23
9,10,C0751495,22
10,11,C0577566,22
11,12,C0042963,16
12,13,C0027796,16
13,14,C0159036,15
14,15,C0348588,14
15,16,C2712367,13
16,17,C0009806,12
17,18,C1301340,12
18,19,C0520966,12
19,20,C0042571,12
20,21,C0039070,12
21,22,C0007758,11
22,23,C0029089,11
23,24,C0018991,11
24,25,C0333240,11
25,26,C0577562,11
26,27,C0391860,11
27,28,C0037763,10
28,29,C0577572,10
29,30,C0547030,9
30,31,C2712366,9
31,32,C0004158,8
32,33,C0577561,8
33,34,C0030232,8
34,35,C1565887,8
35,36,C0264272,8
36,37,C0333422,8
37,38,C0917801,7
38,39,C0036396,7
39,40,C0917799,7
40,41,C0577560,7
41,42,C0577565,7
42,43,C0577570,7
43,44,C0406411,7
44,45,C0155001,7
45,46,C0085641,7
46,47,C1304408,7
47,48,C0423713,7
48,49,C0005747,7
49,50,C0013196,7
50,51,C1961111,6
51,52,C0010520,6
52,53,C0012766,6
53,54,C0221232,6
54,55,C0020450,6
55,56,C0375214,6
56,57,C0478145,6
57,58,C0157725,6
58,59,C0423714,6
59,60,C0240715,6
60,61,C0333252,5
61,62,C0695252,5
62,63,C0577564,5
63,64,C0427086,5
64,65,C0030214,5
65,66,C0020440,5
66,67,C0038187,5
67,68,C0042755,5
68,69,C0040485,5
69,70,C1279511,5
70,71,C0476232,5
71,72,C0406548,5
72,73,C0332573,5
73,74,C0221261,5
74,75,C0003564,5
75,76,C0271234,5
76,77,C0426649,4
77,78,C0271412,4
78,79,C0149793,4
79,80,C1290771,4
80,81,C0236065,4
81,82,C0242429,4
82,83,C0007942,4
83,84,C0158297,4
84,85,C0152029,4
85,86,C0008031,4
86,87,C0264588,4
87,88,C0037317,4
88,89,C0393588,4
89,90,C0234131,4
90,91,C0424284,4
91,92,C0339249,4
92,93,C0406671,4
93,94,C0005409,4
94,95,C0263538,4
95,96,C0424853,4
96,97,C0221201,4
97,98,C0344306,4
98,99,C0000737,4
99,100,C0393903,4
100,101,C0423708,4
101,102,C1262535,4
102,103,C0343731,4
103,104,C0017672,4
104,105,C0423707,4
105,106,C0375218,4
106,107,C0262977,4
107,108,C0152116,4
108,109,C0024031,4
109,110,C0006625,4
110,111,C0587047,4
111,112,C0577563,4
112,113,C0423709,4
113,114,C0751188,3
114,115,C0004604,3
115,116,C0585542,3
116,117,C0264345,3
117,118,C0155004,3
118,119,C0339693,3
119,120,C0032617,3
120,121,C0038605,3
121,122,C0151205,3
122,123,C0840927,3
123,124,C0701795,3
124,125,C0233769,3
125,126,C1283829,3
126,127,C0476206,3
127,128,C2919424,3
128,129,C0155344,3
129,130,C0159065,3
130,131,C0235980,3
131,132,C0029625,3
132,133,C0451941,3
133,134,C1260880,3
134,135,C0341961,3
135,136,C0423721,3
136,137,C1280008,3
137,138,C0476228,3
138,139,C0159043,3
139,140,C0042818,3
140,141,C0577569,3
141,142,C0406569,3
142,143,C0231623,3
143,144,C0156308,3
144,145,C0405064,3
145,146,C0263634,3
146,147,C0029844,3
147,148,C0401020,3
148,149,C0241165,3
149,150,C0004134,3
150,151,C0577573,3
151,152,C0014394,3
152,153,C0456074,3
153,154,C2921132,3
154,155,C1321325,3
155,156,C0259813,3
156,157,C0270777,3
157,158,C0456073,3
158,159,C0521516,3
159,160,C0476273,3
160,161,C0406218,3
161,162,C0268988,3
162,163,C0343239,3
163,164,C0016382,3
164,165,C0007943,3
165,166,C1321324,3
166,167,C0034933,3
167,168,C0159064,3
168,169,C0521764,3
169,170,C0240608,3
170,171,C0020639,3
171,172,C0577568,3
172,173,C0423006,3
173,174,C0521763,3
174,175,C0152165,3
175,176,C0302310,3
176,177,C0159057,3
177,178,C0456122,3
178,179,C0341865,3
179,180,C0241426,3
180,181,C0343211,3
181,182,C0149696,3
182,183,C0007940,3
183,184,C1319539,3
184,185,C0041889,3
185,186,C0221154,3
186,187,C0423715,3
187,188,C0152030,3
188,189,C0406146,3
189,190,C0578055,3
190,191,C0472514,3
191,192,C0423710,3
192,193,C1282194,3
193,194,C0406404,2
194,195,C1319542,2
195,196,C0013404,2
196,197,C0585958,2
197,198,C1720342,2
198,199,C0221169,2
199,200,C0424489,2
200,201,C0266996,2
201,202,C1720231,2
202,203,C0406399,2
203,204,C0425791,2
204,205,C0263571,2
205,206,C0264602,2
206,207,C0494475,2
207,208,C0577294,2
208,209,C0585566,2
209,210,C0281856,2
210,211,C0240941,2
211,212,C0009193,2
212,213,C0020530,2
213,214,C0474344,2
214,215,C0033776,2
215,216,C0026838,2
216,217,C0270261,2
217,218,C1719454,2
218,219,C0521765,2
219,220,C0019209,2
220,221,C0406405,2
221,222,C0406403,2
222,223,C0263531,2
223,224,C0349681,2
224,225,C0521629,2
225,226,C0426579,2
226,227,C0581358,2
227,228,C0264274,2
228,229,C0085383,2
229,230,C0238637,2
230,231,C0395923,2
231,232,C0344240,2
232,233,C0149651,2
233,234,C0339667,2
234,235,C0234706,2
235,236,C1996961,2
236,237,C0403568,2
237,238,C0426576,2
238,239,C0156324,2
239,240,C0271186,2
240,241,C0339251,2
241,242,C1571956,2
242,243,C0729341,2
243,244,C1290644,2
244,245,C0848332,2
245,246,C0751460,2
246,247,C0159040,2
247,248,C0423717,2
248,249,C0393610,2
249,250,C0521800,2
250,251,C0239779,2
251,252,C0521788,2
252,253,C0233973,2
253,254,C0233390,2
254,255,C0349683,2
255,256,C0406406,2
256,257,C0456800,2
257,258,C0264601,2
258,259,C0278147,2
259,260,C0040460,2
260,261,C1960183,2
261,262,C0221166,2
262,263,C1540979,2
263,264,C0521766,2
264,265,C0087169,2
265,266,C0344244,2
266,267,C1290643,2
267,268,C0010200,2
268,269,C1319587,2
269,270,C0152228,2
270,271,C1561817,2
271,272,C0151825,2
272,273,C0271190,2
273,274,C0458090,2
274,275,C1578670,2
275,276,C2939427,2
276,277,C0027498,2
277,278,C0426785,2
278,279,C1319538,2
279,280,C0263534,2
280,281,C0311222,2
281,282,C0409557,2
282,283,C0241462,2
283,284,C0232488,2
284,285,C0003862,2
285,286,C0003126,2
286,287,C0029854,2
287,288,C0235267,2
288,289,C0312416,2
289,290,C0266952,2
290,291,C0159061,2
291,292,C0423610,2
292,293,C0235777,2
293,294,C0406881,2
294,295,C0521668,2
295,296,C0392674,2
296,297,C0023222,2
297,298,C1442877,2
298,299,C0034880,2
299,300,C1719857,2
300,301,C1319543,2
301,302,C0085688,2
302,303,C0264609,2
303,304,C0278134,2
304,305,C0155347,2
305,306,C0339250,2
306,307,C0403569,2
307,308,C0406407,2
308,309,C0240920,2
309,310,C0240007,2
310,311,C0473563,2
311,312,C0025587,2
312,313,C0241457,2
313,314,C0423075,2
314,315,C0234378,2
315,316,C1997818,2
316,317,C0234363,2
317,318,C0270274,2
318,319,C0231528,2
319,320,C0401157,2
320,321,C0027424,2
321,322,C0344246,2
322,323,C1288081,2
323,324,C0406400,2
324,325,C0158206,2
325,326,C0232982,2
326,327,C0575081,2
327,328,C1319544,2
328,329,C0221540,2
329,330,C0231835,2
330,331,C0473131,2
331,332,C0178422,2
332,333,C0401155,2
333,334,C0239739,2
334,335,C0042256,2
335,336,C0232983,2
336,337,C0585540,2
337,338,C0406408,2
338,339,C0399411,2
339,340,C0267028,2
340,341,C0399459,2
341,342,C0267633,2
342,343,C0375556,2
343,344,C0392071,2
344,345,C0028961,2
345,346,C0019079,2
346,347,C1319541,2
347,348,C0263540,2
348,349,C0158194,2
349,350,C0271276,2
350,351,C1319537,2
351,352,C0340979,2
352,353,C1319540,2
353,354,C0587050,2
354,355,C0575012,1
355,356,C0235031,1
356,357,C0395959,1
357,358,C0155382,1
358,359,C0558450,1
359,360,C0406216,1
360,361,C0232955,1
361,362,C0341866,1
362,363,C0375229,1
363,364,C0476303,1
364,365,C3266172,1
365,366,C0438432,1
366,367,C0404484,1
367,368,C1578453,1
368,369,C0149741,1
369,370,C0578994,1
370,371,C0238532,1
371,372,C0424535,1
372,373,C0587242,1
373,374,C0558920,1
374,375,C0240273,1
375,376,C0574922,1
376,377,C0522070,1
377,378,C0558161,1
378,379,C0574925,1
379,380,C0686768,1
380,381,C0700590,1
381,382,C0456495,1
382,383,C0521671,1
383,384,C0422943,1
384,385,C0278230,1
385,386,C0424071,1
386,387,C0521815,1
387,388,C0522337,1
388,389,C0274369,1
389,390,C0234660,1
390,391,C0473137,1
391,392,C1536289,1
392,393,C0231612,1
393,394,C0575018,1
394,395,C0029537,1
395,396,C0151791,1
396,397,C0429955,1
397,398,C0232979,1
398,399,C0410577,1
399,400,C0426317,1
400,401,C0566909,1
401,402,C0425665,1
402,403,C0575048,1
403,404,C0221727,1
404,405,C0473129,1
405,406,C0344374,1
406,407,C1562724,1
407,408,C0559537,1
408,409,C1534991,1
409,410,C0152031,1
410,411,C0333228,1
411,412,C0458166,1
412,413,C0333249,1
413,414,C0520588,1
414,415,C0401158,1
415,416,C1313952,1
416,417,C0232847,1
417,418,C0458232,1
418,419,C0033777,1
419,420,C0576705,1
420,421,C0232593,1
421,422,C0473136,1
422,423,C0038450,1
423,424,C0426487,1
424,425,C0578051,1
425,426,C0234038,1
426,427,C0278119,1
427,428,C1268591,1
428,429,C0578052,1
429,430,C0232082,1
430,431,C0085620,1
431,432,C2585575,1
432,433,C0577595,1
433,434,C1562677,1
434,435,C0343494,1
435,436,C1274926,1
436,437,C0271050,1
437,438,C0264599,1
438,439,C0234248,1
439,440,C0424359,1
440,441,C0473234,1
441,442,C0575064,1
442,443,C0240812,1
443,444,C0232083,1
444,445,C0231654,1
445,446,C0574987,1
446,447,C0423746,1
447,448,C0576431,1
448,449,C0578081,1
449,450,C0231613,1
450,451,C0175848,1
451,452,C0426633,1
452,453,C0231514,1
453,454,C1282197,1
454,455,C0677061,1
455,456,C0521663,1
456,457,C0423630,1
457,458,C0478662,1
458,459,C0263355,1
459,460,C0393775,1
460,461,C0231785,1
461,462,C0577585,1
462,463,C0684219,1
463,464,C0458960,1
464,465,C0013421,1
465,466,C0234862,1
466,467,C0270795,1
467,468,C0474500,1
468,469,C0542134,1
469,470,C0686766,1
470,471,C0037771,1
471,472,C0458959,1
472,473,C0277820,1
473,474,C0236075,1
474,475,C0393757,1
475,476,C0576430,1
476,477,C1534486,1
477,478,C0234544,1
478,479,C0476211,1
479,480,C0838227,1
480,481,C0271397,1
481,482,C0221226,1
482,483,C0278125,1
483,484,C2315430,1
484,485,C0159055,1
485,486,C1319589,1
486,487,C0234705,1
487,488,C0410919,1
488,489,C0423812,1
489,490,C0278118,1
490,491,C0745966,1
491,492,C0025287,1
492,493,C0424072,1
493,494,C0339205,1
494,495,C0086437,1
495,496,C0234943,1
496,497,C0034886,1
497,498,C0155066,1
498,499,C0155047,1
499,500,C0362036,1
500,501,C0314719,1
501,502,C0521588,1
502,503,C0235808,1
503,504,C0521651,1
504,505,C0426583,1
505,506,C0497456,1
506,507,C0278107,1
507,508,C0586392,1
508,509,C0150044,1
509,510,C0013911,1
510,511,C0375546,1
511,512,C0574998,1
512,513,C0234664,1
513,514,C0027497,1
514,515,C0344239,1
515,516,C0232491,1
516,517,C0476240,1
517,518,C0565619,1
518,519,C0578750,1
519,520,C0233763,1
520,521,C0522347,1
521,522,C0401149,1
522,523,C0156171,1
523,524,C0520822,1
524,525,C0277799,1
525,526,C0521762,1
526,527,C0686729,1
527,528,C0231753,1
528,529,C0574994,1
529,530,C0423649,1
530,531,C0404561,1
531,532,C0405495,1
532,533,C0521635,1
533,534,C0520586,1
534,535,C0399590,1
535,536,C0427201,1
536,537,C0241709,1
537,538,C1536352,1
538,539,C0155536,1
539,540,C0221776,1
540,541,C0278021,1
541,542,C0574921,1
542,543,C0393766,1
543,544,C1828409,1
544,545,C0277952,1
545,546,C0030201,1
546,547,C0000727,1
547,548,C0423720,1
548,549,C0019214,1
549,550,C0032781,1
550,551,C0522071,1
551,552,C1446312,1
552,553,C0231385,1
553,554,C0155204,1
554,555,C0278053,1
555,556,C0231440,1
556,557,C0277941,1
557,558,C1540714,1
558,559,C0751295,1
559,560,C0345246,1
560,561,C0578086,1
561,562,C0521592,1
562,563,C0005687,1
563,564,C0575058,1
564,565,C0030554,1
565,566,C0158369,1
566,567,C0578674,1
567,568,C0234377,1
568,569,C1287517,1
569,570,C0333243,1
570,571,C0700200,1
571,572,C0578054,1
572,573,C0030218,1
573,574,C0426390,1
574,575,C0406402,1
575,576,C0406219,1
576,577,C1535347,1
577,578,C0576137,1
578,579,C0271052,1
579,580,C0232960,1
580,581,C0476293,1
581,582,C0410921,1
582,583,C0020453,1
583,584,C0003078,1
584,585,C0555957,1
585,586,C0520905,1
586,587,C0233138,1
587,588,C0458171,1
588,589,C0728950,1
589,590,C0575020,1
590,591,C0156402,1
591,592,C0587243,1
592,593,C1956415,1
593,594,C0236078,1
594,595,C0232978,1
595,596,C0560609,1
596,597,C0423813,1
597,598,C0427202,1
598,599,C0392513,1
599,600,C0399591,1
600,601,C0014034,1
601,602,C0241902,1
602,603,C0578047,1
603,604,C0452143,1
604,605,C0476209,1
605,606,C0151828,1
606,607,C0454605,1
607,608,C0221150,1
608,609,C0451633,1
609,610,C0423178,1
610,611,C0235568,1
611,612,C0231529,1
612,613,C1536397,1
613,614,C0574999,1
614,615,C0375223,1
615,616,C0013395,1
616,617,C0037088,1
617,618,C0559753,1
618,619,C0581909,1
619,620,C0567493,1
620,621,C0423683,1
621,622,C1571858,1
622,623,C0232130,1
623,624,C0751191,1
624,625,C0878706,1
625,626,C0028962,1
626,627,C1563338,1
627,628,C0339142,1
628,629,C0339780,1
629,630,C0424275,1
630,631,C1384488,1
631,632,C0520559,1
632,633,C0423823,1
633,634,C0574988,1
634,635,C0232857,1
635,636,C0234371,1
636,637,C0158157,1
637,638,C1319588,1
638,639,C0560253,1
639,640,C0451632,1
640,641,C0558143,1
641,642,C0235068,1
642,643,C0232968,1
643,644,C0746674,1
644,645,C0232476,1
645,646,C0567522,1
646,647,C0426769,1
647,648,C0234372,1
648,649,C0476217,1
649,650,C0575010,1
650,651,C0234861,1
651,652,C0026825,1
652,653,C0149751,1
653,654,C0438434,1
654,655,C0234375,1
655,656,C0277943,1
656,657,C0232209,1
657,658,C0159034,1
658,659,C0233193,1
659,660,C0270844,1
660,661,C0162298,1
661,662,C1541982,1
662,663,C0233200,1
663,664,C0476212,1
664,665,C0476267,1
665,666,C0156317,1
666,667,C0574993,1
667,668,C0003580,1
668,669,C0405326,1
669,670,C0232520,1
670,671,C0033775,1
671,672,C0344242,1
672,673,C0235477,1
673,674,C0234428,1
674,675,C0375226,1
675,676,C0155002,1
676,677,C0426471,1
677,678,C0686344,1
678,679,C0585627,1
679,680,C0232373,1
680,681,C0375224,1
681,682,C0423818,1
682,683,C0575000,1
683,684,C0235778,1
684,685,C0578082,1
685,686,C0277938,1
686,687,C1260922,1
687,688,C0234357,1
688,689,C0277986,1
689,690,C0231796,1
690,691,C0018933,1
691,692,C0233389,1
692,693,C0577655,1
693,694,C0232199,1
694,695,C0234374,1
695,696,C0232503,1
696,697,C0349684,1
697,698,C0241439,1
698,699,C0234757,1
699,700,C0458221,1
700,701,C0234379,1
701,702,C0520821,1
702,703,C0392678,1
703,704,C0578046,1
704,705,C0033778,1
705,706,C0574992,1
706,707,C0589525,1
707,708,C0002758,1
708,709,C0542354,1
709,710,C0393916,1
710,711,C0232959,1
711,712,C0269671,1
712,713,C0026821,1
713,714,C0478148,1
714,715,C0563608,1
715,716,C0522067,1
716,717,C0234369,1
717,718,C0040822,1
718,719,C0026826,1
719,720,C0563234,1
720,721,C0151726,1
721,722,C0026827,1
722,723,C0577571,1
723,724,C0576433,1
724,725,C0423735,1
725,726,C1277673,1
726,727,C0575045,1
727,728,C0522364,1
728,729,C0406401,1
729,730,C0270697,1
730,731,C0232598,1
731,732,C0232719,1
732,733,C0521628,1
733,734,C0686765,1
734,735,C0575047,1
735,736,C0333255,1
736,737,C0277962,1
737,738,C0869256,1
738,739,C0231530,1
739,740,C0234373,1
740,741,C0015644,1
741,742,C0426601,1
742,743,C1542154,1
743,744,C0565618,1
744,745,C0497481,1
745,746,C0339257,1
746,747,C0522348,1
747,748,C0234362,1
748,749,C0234370,1
749,750,C0701824,1
750,751,C0577591,1
751,752,C0575090,1
752,753,C0439029,1
753,754,C0234542,1
754,755,C0039591,1
755,756,C0566948,1
756,757,C0009024,1
757,758,C0454542,1
758,759,C0577567,1
759,760,C0155227,1
760,761,C3266173,1
761,762,C0150045,1
762,763,C0427055,1
763,764,C0016205,1
764,765,C0151818,1
765,766,C1827253,1
766,767,C0521160,1
767,768,C0405584,1
768,769,C0232597,1
769,770,C0234979,1
770,771,C0423686,1
771,772,C0242706,1
772,773,C0578675,1
773,774,C2919320,1
774,775,C0581326,1
775,776,C0560024,1
776,777,C0233509,1
777,778,C0235242,1
778,779,C0232119,1
779,780,C0522350,1
780,781,C0242453,1
781,782,C0221151,1
782,783,C0585977,1
783,784,C0151908,1
784,785,C0476481,1
785,786,C0458242,1
786,787,C0231532,1
787,788,C0278225,1
788,789,C0520589,1
789,790,C0231246,1
790,791,C0241656,1
791,792,C1828308,1
792,793,C0567494,1
793,794,C0586738,1
794,795,C0233179,1
795,796,C0522034,1
796,797,C0473312,1
797,798,C0576837,1
798,799,C0574989,1
799,800,C0271404,1
800,801,C0520904,1
801,802,C0521632,1
802,803,C0581323,1
803,804,C3257803,1
804,805,C0751409,1
805,806,C0231668,1
806,807,C0231438,1
807,808,C0008035,1
808,809,C0239340,1
809,810,C0232536,1
810,811,C0521591,1
811,812,C1579838,1
812,813,C0521532,1
813,814,C0423386,1
814,815,C0458087,1
815,816,C0751564,1
816,817,C0947785,1
