	MeSH Disease Term	PubMed occurrence
0	Новообразования молочной железы	122226
1	Гипертония	107294
2	Ишемическая болезнь сердца	82819
3	Новообразования легких	78009
4	Инфаркт миокарда	75945
5	ВИЧ-инфекции	66601
6	Коронарная болезнь	64339
7	астма	63669
8	Аденокарцинома	60855
9	слабоумие	55782
10	Новообразования предстательной железы	54606
11	Кожные новообразования	53590
12	Ожирение	50477
13	Карцинома, плоскоклеточный рак	50241
14	Боль	49599
15	Новообразования печени	49005
16	Артрит, Ревматоидный	48854
17	Шизофрения	46537
18	Сахарный диабет, тип 2	46242
19	Новообразования головного мозга	45792
20	Сердечная недостаточность	44310
21	Послеоперационные осложнения	41449
22	Почечная недостаточность, хроническая	41060
23	Болезнь Альцгеймера	39668
24	Сахарный диабет	38441
25	Новообразования желудка	37871
26	Сахарный диабет, тип 1	37268
27	Новообразования яичников	36081
28	Меланома	35939
29	Заболевания почек	35339
30	Ишемия миокарда	35295
31	Депрессивное расстройство	34054
32	эпилепсия	33135
33	Карцинома	32097
34	Церебральный инфаркт	32039
35	Туберкулез, Легочный	31919
36	Синдром приобретенного иммунодефицита	31241
37	Новообразования шейки матки	31050
38	Легочные заболевания	30739
39	Новообразования почек	30523
40	Алкоголизм	30471
41	Колоректальные новообразования	30458
42	Карцинома, гепатоцеллюлярная	30294
43	Новообразования толстой кишки	28456
44	Болезнь Паркинсона	28193
45	Бактериальные инфекции	28042
46	Заболевания печени	28019
47	Новообразования поджелудочной железы	27850
48	Красная волчанка, системная	27647
49	Болезни собак	27332
50	артериосклероз	26436
51	Цирроз печени	25739
52	Аритмии, Сердечные	25575
53	Кожные заболевания	25481
54	Заболевания головного мозга	25422
55	Лейкемия	25404
56	Рассеянный склероз	24939
57	Расстройства, связанные с употреблением психоактивных веществ	24920
58	Новообразования мочевого пузыря	24614
59	Воспаление	24475
60	Сердечные заболевания	24032
61	Осложнения беременности	23765
62	лимфома	23467
63	Когнитивные расстройства	23227
64	Тромбоз	23009
65	Новообразования головы и шеи	22321
66	Инсульт	22261
67	Аутоиммунные заболевания	22187
68	Болезни крупного рогатого скота	22042
69	панкреатит	21934
70	Костные новообразования	21928
71	Травмы головного мозга	21659
72	Остеопороз	20961
73	Сепсис	20695
74	Ишемия головного мозга	20513
75	Новообразования щитовидной железы	20507
76	Бернс	20448
77	Гепатит С	20364
78	Сахарный диабет, Экспериментальный	19998
79	Цереброваскулярные расстройства	19754
80	Аденома	18992
81	Муковисцидоз	18917
82	Множественная миелома	18601
83	Новообразования, Экспериментальные	18564
84	Туберкулез	18526
85	Болезнь Ходжкина	18508
86	Карцинома немелкоклеточного легкого	18429
87	Ишемия	18355
88	Судороги	18338
89	Новообразования матки	18245
90	Новообразования пищевода	17855
91	Лейкоз, Миелоидный, Острый	17814
92	Стафилококковые инфекции	17801
93	Острое повреждение почек	17766
94	Псориаз	17618
95	Болезнь Крона	17462
96	Лимфома, неходжкинская	17427
97	Биполярное расстройство	17414
98	Кровотечение	17240
99	Аномалии, Множественные	16849
100	Умственная отсталость	16842
101	Желудочно-кишечное кровотечение	16416
102	Рецидив новообразования, местный	16302
103	глиома	15897
104	Гиперчувствительность	15835
105	Мерцательная аритмия	15779
106	Пневмония	15737
107	Переломы, Кость	15485
108	Хеликобактерные инфекции	15366
109	кальциноз	15359
110	Психотические расстройства	15313
111	Пороки сердца, врожденные	15181
112	Травмы спинного мозга	14977
113	Простуда	14819
114	стенокардия	14713
115	Легочная эмболия	14625
116	Инфекции мочевыводящих путей	14472
117	Гепатит	14331
118	колит, язвенный	14233
