MeSH Symptom Term	PubMed occurrence
Вес тела	147857
Боль	103168
Ожирение	100301
Аноксия	47351
Умственная отсталость	43883
Судороги	36959
Диарея	34850
стенокардия	29473
Отек	29446
Вес при рождении	29364
Высокая температура	27734
Боль, Послеоперационный	22793
Глухота	21470
Головная боль	20212
Нарушения зрения	19403
Потеря веса	18689
Увеличение веса	18661
протеинурия	18604
Рвота	17571
Психофизиологические расстройства	16827
Недержание мочи	16162
Усталость	15975
Паралич	15477
Слепота	15199
Боль в спине	13385
Одышка	12973
Нарушения слуха	12913
Нарушения сна	12844
Расстройства памяти	12076
Тошнота	11643
Расстройства обучения	11489
Боль в животе	11450
Боль в пояснице	11361
Потеря слуха, нейросенсорная	11096
Кашель	10577
Параплегия	10544
Головокружение	10308
альбуминурия	10187
Кома	10094
гемиплегия	9677
Лицевой паралич	9513
Расстройства речи	9207
Запор	9201
Желтуха	8659
Ожирение, Морбид	8445
Мышечная слабость	8320
обморок	8193
Галлюцинации	8094
Недержание мочи, стресс	7916
Гипотермия	7774
Афазия	7771
Живот, острый	7764
Мышечная атрофия	7754
Грудная боль	7742
Головокружение	7698
Стенокардия, нестабильная	7693
Зуд	7494
Тремор	7345
Неврологические проявления	7236
офтальмоплегия	7078
Гиперкапния	6702
Избыточный вес	6660
Диспепсия	6658
Потеря слуха	6617
квадриплегия	6461
Перемежающаяся хромота	6418
Диарея, инфантильная	6300
невралгия	6081
Мышечная спастичность	5975
Мочевой пузырь, нейрогенный	5973
Недостаток сна	5941
Дыхательные звуки	5870
Апноэ	5835
Атаксия	5800
Спазм	5749
Амнезия	5710
Пурпура, тромбоцитопеническая	5639
дислексия	5549
Гипералгезия	5523
Потеря слуха, вызванная шумом	5455
дистония	5395
амблиопия	5240
Боль, Непреодолимый	5135
Языковые расстройства	5119
Сердечный выброс, низкий	5096
шум в ушах	5038
Гипервентиляция	4918
Парестезия	4711
Децеребрационное состояние	4648
Расстройства восприятия	4576
Бред	4573
Булимия	4516
Кровохарканье	4496
Психомоторные расстройства	4424
Паралич голосовых связок	4410
Миоклонус	4304
лицевая боль	4301
Пурпура	4252
Рефлекс, Аномальный	4190
Острый коронарный синдром	4124
Парез	4102
Голосовые расстройства	4043
Нарушения языкового развития	3958
радикулит	3869
Пурпура, тромбоцитопеническая, идиопатическая	3857
Иллюзии	3800
Диплопия	3752
Цианоз	3748
Анорексия	3616
Артралгия	3469
Гиперкинез	3387
Дефекты цветового зрения	3375
кахексия	3369
Хорея	3368
Боль в шее	3364
Путаница	3297
Колики	3286
Бессознательное состояние	3274
Пурпура, тромботическая тромбоцитопеническая	3274
Лихорадка неизвестного происхождения	3268
Расстройства чувствительности	3264
Гипергаммаглобулинемия	3242
Мозжечковая атаксия	3235
Пурпура, Шенлейн-Генох	3213
гирсутизм	3169
Проявления глаз	3150
Психомоторное возбуждение	2970
Боль в области таза	2841
Храп	2815
Дисменорея	2806
дистресс плода	2784
Заикание	2780
Сердечные шумы	2771
Кривошея	2747
Кожные проявления	2723
Потеря слуха, кондуктивная	2639
худоба	2616
Нарушения походки, неврологические	2574
Гипоксия плода	2556
Расстройства обоняния	2476
Послеоперационная тошнота и рвота	2338
Мышечная гипотония	2331
скотома	2232
Гемианопсия	2228
Стойкое вегетативное состояние	2206
Каталепсия	2200
Тетания	2148
Боль в плече	2137
желтуха, обтурационная	2136
Цереброспинальная жидкая ринорея	2119
Зубная боль	2089
Апраксии	2077
Морская болезнь	2065
Гиперфагия	2052
Гипероксия	2022
Гипестезия	1953
Агнозия	1840
Оральное кровотечение	1816
Стенокардия, Вариант	1792
горячие вспышки	1788
Мышечная судорога	1784
кровавая рвота	1779
Кататония	1763
вирилизация	1753
Расстройства сознания	1745
Зрение, Низкий	1739
Полиурия	1679
Водянка плода	1661
Жесткость мышц	1649
Надъядерный паралич, прогрессирующий	1591
Дизартрия	1586
Синдром Хорнера	1539
Гиповентиляция	1511
Потеря слуха, двусторонняя	1502
Мочевой пузырь, гиперактивность	1490
Оральные проявления	1485
Охриплость	1458
Фетальная макросомия	1448
Изжога	1440
Потеря слуха, внезапная	1409
Фантомная конечность	1370
Дыхательный паралич	1331
Ограничение подвижности	1329
Афазия, Брока	1302
Расстройства артикуляции	1298
Коммуникативные расстройства	1291
Астения	1278
Обморок, Васовагал	1264
Атетоз	1241
Вкусовые расстройства	1209
Акатизия, индуцированная лекарствами	1174
псевдофакия	1163
Тинея Педис	1122
Гиперемезис беременных	1100
тризм	1091
Метеоризм	1075
Гемоглобинурия	1071
Дискинезии	1045
Ротовое дыхание	1002
пресбиакузис	999
Миотония	970
Вес плода	953
Промывка	949
Умственная усталость	937
Олигурия	935
Экхимоз	914
Цереброспинальная жидкость Оторея	906
неприятный запах изо рта	894
Гастропарез	884
Аномия	859
Гипокинезия	833
Иккинг	833
Расстройства слухового восприятия	828
мутизм	822
Потеря слуха, высокочастотный	786
Дислексия, приобретенная	783
Афазия, Вернике	782
Соматосенсорные расстройства	782
Гиперестезия	773
Амнезия, ретроградная	768
Аграфия	751
Чихание	691
Мышечный гипертонус	688
Кровоизлияние в глаз	686
Гипокапния	661
Расстройства зрачка	595
Истощение	587
Энкопрез	576
Гемифациальный спазм	557
Дыхание Чейна-Стокса	545
фасцикуляция	539
Старение, Преждевременное	519
Тики	518
Ушная боль	506
Респираторная аспирация	498
Феминизация	485
Парапарез	472
Отек, Сердечный	435
родовая боль	428
Невралгия, Постгерпетическая	417
Синдром Уотерхауза-Фридериксена	404
Офтальмоплегия, хроническая прогрессирующая наружная	385
Слепота, корковая	378
рвотные позывы	376
Потеря слуха, Центральный	360
Светобоязнь	348
Дисфония	346
Недержание мочи, позывы	340
Простатизм	321
миоз	320
гиперакузия	315
Прозопагнозия	310
Походка Атаксия	307
Одышка, пароксизмальная	286
Боль в боку	278
Рефлекс, Бабинский	272
Парапарез, спастический	270
Отрыжка	264
Корсаковский синдром	257
Кофе с молоком	252
никтурия	251
Афазия, первично-прогрессирующая	249
Потеря слуха, односторонняя	242
Афония	242
Гиперкальциурия	240
аэрофагия	239
Бледность	237
глоссалгия	236
Пурпура, гиперглобулинемическая	236
менингизм	224
Амнезия, преходящая глобальная	224
Синдром Брауна-Секара	223
дисгевзия	222
саркопения	217
Рвота, предварительная	214
копрофагия	209
Анизокория	208
Эхолалия	202
Амавроз Фукс	194
Амнезия, Антероградная	188
Космическая болезнь движения	181
Агевзия	174
Ашер синдромы	173
Синдром Герстмана	169
Потеря слуха, функциональная	149
Апраксия, идеомоторная	139
Сердечный выброс, высокий	136
Боль, Направлено	134
Нейроповеденческие проявления	129
Летаргия	126
Потеря слуха, смешанная кондуктивно-сенсоневральная	124
Дизурия	115
Озноб	113
Тонический Зрачок	106
Метатарзалгия	93
Миоцимия	87
Ортостатическая непереносимость	81
Псевдобульбарный паралич	78
Походка Апраксия	76
Ливедо ретикулярное	73
Утреннее недомогание	66
синкинезии	65
Молниеносная пурпура	63
Почечная колика	55
Ступор	52
Алексия, чистая	50
Афазия, проводимость	50
Моча	45
Глазная боль	42
ретикулоцитоз	32
Систолические шумы	28
Слепоглухие расстройства	24
Синдром Сусака	22
Потливость	20
Первичная прогрессирующая неплавная афазия	19
Синдром грушевидной мышцы	18
растяжки	11
Синдром чужой руки	10
Некролитическая мигрирующая эритема	7
Изменения массы тела	4
Синдром щелевидного желудочка	3
Инфантильное очевидное угрожающее жизни событие	2
